"facility_id","canonical_id","canonical_name","canonical_city","canonical_state","facility_name","facility_city","facility_state"
1,1,"(*) Denotes No Inspection Completed As of The Date of The Report",NA,NA,"(*) Denotes No Inspection Completed As of The Date of The Report",NA,NA
2,2,"*The Info. In This Report Is Subject To Change",NA,NA,"*The Info. In This Report Is Subject To Change",NA,NA
3,3,"Abraxas Academy Detention Center","Morgantown","PA","Abraxas Academy Detention Center","Morgantown","PA"
4,5,"Adams County Detention Center (Mississippi)","Natchez","MS","Adams County Correctional Center","Natchez","MS"
5,5,"Adams County Detention Center (Mississippi)","Natchez","MS","Adams County Detention Center","Natchez","MS"
6,107,"Adelanto ICE Processing Center","Adelanto","CA","Adelanto ICE Processing Center","Adelanto","CA"
7,7,"Alamance County Detention Facility","Graham","NC","Alamance County Detention Facility","Graham","NC"
8,8,"Albany County Jail","Albany","NY","Albany County Jail","Albany","NY"
9,9,"Alexandria Staging Facility","Alexandria","LA","Alexandria Staging Facility","Alexandria","LA"
10,10,"Allegany County Jail","Belmont","NY","Allegany County Jail","Belmont","NY"
11,11,"Allen County Jail","Ft. Wayne","IN","Allen County Jail","Ft. Wayne","IN"
12,12,"Allen Parish Public Safety Complex","Oberlin","LA","Allen Parish Public Safety Complex","Oberlin","LA"
13,13,"Anchorage Correctional Complex","Anchorage","AK","Anchorage Correctional Complex","Anchorage","AK"
14,14,"Anne Arundel County Ordnance Road Correctional Center","Glen Burnie","MD","Anne Arundel County Ordnance Road Correctional Center","Glen Burnie","MD"
15,140,"Folkston Annex IPC","Folkston","GA","Annex - Folkston IPC","Folkston","GA"
16,16,"Baker Correctional Institution","Sanderson","FL","Baker Correctional Institution","Sanderson","FL"
17,18,"Baker County Sheriff's Office","Macclenny","FL","Baker County Sheriff Department.","Macclenny","FL"
18,18,"Baker County Sheriff's Office","Macclenny","FL","Baker County Sheriff's Office","Macclenny","FL"
19,19,"Baldwin County Correctional Center","Bay Minette","AL","Baldwin County Correctional Center","Bay Minette","AL"
20,20,"Beaver County Jail","Aliquippa","PA","Beaver County Jail","Aliquippa","PA"
21,21,"Bedford Municipal Detention Center","Bedford","TX","Bedford Municipal Detention Center","Bedford","TX"
22,22,"Bergen County Jail","Hackensack","NJ","Bergen County Jail","Hackensack","NJ"
23,24,"Berks County Residential Center1","Leesport","PA","Berks County Family Shelter","Leesport","PA"
24,24,"Berks County Residential Center1","Leesport","PA","Berks County Residential Center1","Leesport","PA"
25,25,"Berlin Federal. Correctional. Institution.","Berlin","NH","Berlin Federal. Correctional. Institution.","Berlin","NH"
26,26,"Best Western-Casa De Estrella","El Paso","TX","Best Western-Casa De Estrella","El Paso","TX"
27,27,"Bluebonnet Detention Center","Anson","TX","Bluebonnet Detention Center","Anson","TX"
28,28,"Boone County Jail","Burlington","KY","Boone County Jail","Burlington","KY"
29,29,"Bossier Parish Cor. Center","Plain Dealing","LA","Bossier Parish Cor. Center","Plain Dealing","LA"
30,30,"Bourbon County Detention Center","Paris","KY","Bourbon County Detention Center","Paris","KY"
31,31,"Bradford County Jail","Starke","FL","Bradford County Jail","Starke","FL"
32,32,"Bristol County Detention Center","North Dartmouth","MA","Bristol County Detention Center","North Dartmouth","MA"
33,33,"Brooklyn MDC","Brooklyn","NY","Brooklyn MDC","Brooklyn","NY"
34,34,"Brooks County Detention Center","Falfurrias","TX","Brooks County Detention Center","Falfurrias","TX"
35,36,"Broome County Jail","Binghamton","NY","Broome County Jail","Binghampton","NY"
36,36,"Broome County Jail","Binghamton","NY","Broome County Jail","Binghamton","NY"
37,37,"Broward County Jail","Fort Lauderdale","FL","Broward County Jail","Fort Lauderdale","FL"
38,38,"Broward Transitional Center","Pompano Beach","FL","Broward Transitional Center","Pompano Beach","FL"
39,40,"Buffalo (Batavia) Service Processing Center","Batavia","NY","Buffalo (Batavia) Service Processing Center","Batavia","NY"
40,40,"Buffalo (Batavia) Service Processing Center","Batavia","NY","Buffalo Service Processing Center","Batavia","NY"
41,41,"Burleigh County","Bismarck","ND","Burleigh County","Bismarck","ND"
42,42,"Burnet County Jail","Burnet","TX","Burnet County Jail","Burnet","TX"
43,43,"Butler County Jail","El Dorado","KS","Butler County Jail","El Dorado","KS"
44,44,"Butler County Jail","Hamilton","OH","Butler County Jail","Hamilton","OH"
45,45,"Cabarrus County Jail","Concord","NC","Cabarrus County Jail","Concord","NC"
46,46,"Cache County Jail","Logan","UT","Cache County Jail","Logan","UT"
47,47,"Caldwell County Detention Center","Kingston","MO","Caldwell County Detention Center","Kingston","MO"
48,48,"Calhoun County Correctional Center","Battle Creek","MI","Calhoun County Correctional Center","Battle Creek","MI"
49,50,"California City Immigration Processing Center","California City","CA","California City Correctional Center","California City","CA"
50,50,"California City Immigration Processing Center","California City","CA","California City Immigration Processing Center","California City","CA"
51,52,"Cambria County Prison","Ebensburg","PA","Cambria County Jail","Ebensburg","PA"
52,52,"Cambria County Prison","Ebensburg","PA","Cambria County Prison","Ebensburg","PA"
53,110,"Camp East Montana","El Paso","TX","Camp East Montana","El Paso","TX"
54,54,"Campbell County Detention Center","Newport","KY","Campbell County Detention Center","Newport","KY"
55,55,"Caroline Detention Facility","Bowling Green","VA","Caroline Detention Facility","Bowling Green","VA"
56,56,"Carver County Jail","Chaska","MN","Carver County Jail","Chaska","MN"
57,58,"Cascade County Jail, Montana","Great Falls","MT","Cascade County Jail (Montana)","Great Falls","MT"
58,58,"Cascade County Jail, Montana","Great Falls","MT","Cascade County Jail, Montana","Great Falls","MT"
59,59,"Cass County Jail","Plattsmouth","NE","Cass County Jail","Plattsmouth","NE"
60,60,"Catahoula Correctional Center","Harrisonburg","LA","Catahoula Correctional Center","Harrisonburg","LA"
61,61,"Cbp Chula Vista Bps","San Diego","CA","Cbp Chula Vista Bps","San Diego","CA"
62,62,"Cbp San Ysidro Poe","San Ysidro","CA","Cbp San Ysidro Poe","San Ysidro","CA"
63,63,"Central Arizona Florence Correctional Complex","Florence","AZ","Central Arizona Florence Correctional Complex","Florence","AZ"
64,210,"Central Louisiana ICE Processing Center (CLIPC)","Jena","LA","Central Louisiana ICE Processing Center (CLIPC)","Jena","LA"
65,65,"Central Texas Detention Facility","San Antonio","TX","Central Texas Detention Facility","San Antonio","TX"
66,66,"Charleston County Detention Center","North Charleston","SC","Charleston County Detention Center","North Charleston","SC"
67,68,"Chase County Jail","Cottonwood Falls","KS","Chase County Detention Facility","Cottonwood Fallss","KS"
68,68,"Chase County Jail","Cottonwood Falls","KS","Chase County Jail","Cottonwood Falls","KS"
69,69,"Chautauqua County Jail","Mayville","NY","Chautauqua County Jail","Mayville","NY"
70,70,"Chavez Detention Center","Roswell","NM","Chavez Detention Center","Roswell","NM"
71,72,"Chippewa County SSM","Sault Ste. Marie","MI","Chippewa County SSM","Sault Sainte Marie","MI"
72,72,"Chippewa County SSM","Sault Ste. Marie","MI","Chippewa County SSM","Sault Ste. Marie","MI"
73,73,"Chittenden Regional Correctional Facility","South Burlington","VT","Chittenden Regional Correctional Facility","South Burlington","VT"
74,74,"Christian County Jail","Hopkinsville","KY","Christian County Jail","Hopkinsville","KY"
75,75,"Christian County Jail","Ozark","MO","Christian County Jail","Ozark","MO"
76,76,"Cibola County Correctional Center","Milan","NM","Cibola County Correctional Center","Milan","NM"
77,77,"Cibola County Detention Center","Grants","NM","Cibola County Detention Center","Grants","NM"
78,78,"Cimmarron Correctional Facility","Cushing","OK","Cimmarron Correctional Facility","Cushing","OK"
79,79,"Clark County Jail (Indiana)","Jeffersonville","IN","Clark County Jail (Indiana)","Jeffersonville","IN"
80,81,"Clay County Justice Center","Brazil","IN","Clay County Jail","Brazil","IN"
81,81,"Clay County Justice Center","Brazil","IN","Clay County Justice Center","Brazil","IN"
82,82,"Clinton County Correctional Facility","Lock Haven","PA","Clinton County Correctional Facility","Lock Haven","PA"
83,83,"Clinton County Correctional Facility","McElhattan","PA","Clinton County Correctional Facility","McElhattan","PA"
84,84,"Clinton County Jail","Frankfort","IN","Clinton County Jail","Frankfort","IN"
85,85,"Clinton County Jail","Plattsburgh","NY","Clinton County Jail","Plattsburgh","NY"
86,86,"Coastal Bend Detention Facility","Robstown","TX","Coastal Bend Detention Facility","Robstown","TX"
87,87,"Cobb County Jail","Marietta","GA","Cobb County Jail","Marietta","GA"
88,88,"Collier County Naples Jail Center","Naples","FL","Collier County Naples Jail Center","Naples","FL"
89,89,"Comfort Suites-Casa Consuelo","El Paso","TX","Comfort Suites-Casa Consuelo","El Paso","TX"
90,90,"Correctional. Center of Northwest Ohio","Stryker","OH","Correctional. Center of Northwest Ohio","Stryker","OH"
91,91,"Cowlitz County Juvenile","Longview","WA","Cowlitz County Juvenile","Longview","WA"
92,92,"Crow Wing County Jail","Brainerd","MN","Crow Wing County Jail","Brainerd","MN"
93,93,"Cumberland County Jail","Portland","ME","Cumberland County Jail","Portland","ME"
94,94,"Dakota County Jail","Dakota City","NE","Dakota County Jail","Dakota City","NE"
95,95,"Dallas County Jail - Lew Sterrett Justice Center","Dallas","TX","Dallas County Jail - Lew Sterrett Justice Center","Dallas","TX"
96,96,"Davidson County Sheriff","Nashville","TN","Davidson County Sheriff","Nashville","TN"
97,97,"Daviess County Detention","Martinsburg","WV","Daviess County Detention","Martinsburg","WV"
98,98,"Daviess County Detention","Owensboro","KY","Daviess County Detention","Owensboro","KY"
99,99,"Davis County","Farmington","UT","Davis County","Farmington","UT"
100,100,"Dekalb County Detention Center","Fort Payne","AL","Dekalb County Detention Center","Fort Payne","AL"
101,127,"Delaney Hall Detention Facility","Newark","NJ","Delaney Hall Detention Facility","Newark","NJ"
102,102,"Delaware County Jail (George W. Hill)","Thornton","PA","Delaware County Jail (George W. Hill)","Thornton","PA"
103,103,"Denver Contract Detention Facility","Aurora","CO","Denver Contract Detention Facility","Aurora","CO"
104,104,"Denver Contract Detention Facility (Cdf) Ii","Aurora","CO","Denver Contract Detention Facility (Cdf) Ii","Aurora","CO"
105,105,"Department of Corrections Hagatna","Hagatna","GU","Department of Corrections Hagatna","Hagatna","GU"
106,107,"Adelanto ICE Processing Center","Adelanto","CA","Desert View","Adelanto","CA"
107,107,"Adelanto ICE Processing Center","Adelanto","CA","Desert View Annex","Adelanto","CA"
108,108,"Diamondback Correctional Facility","Watonga","OK","Diamondback Correctional Facility","Watonga","OK"
109,370,"Dilley Immigration Processing Center","Dilley","TX","Dilley Immigration Processing Center","Dilley","TX"
110,110,"Camp East Montana","El Paso","TX","Dod Detention Facility At Fort Bliss","El Paso","TX"
111,111,"Dodge County Jail","Juneau","WI","Dodge County Jail","Juneau","WI"
112,112,"Dona Ana County Detention Center","Las Cruces","NM","Dona Ana County Detention Center","Las Cruces","NM"
113,113,"Dorchester County Detention Center","Cambridge","MD","Dorchester County Detention Center","Cambridge","MD"
114,114,"Dorchester County Detention Center","Summerville","SC","Dorchester County Detention Center","Summerville","SC"
115,115,"Douglas County","Superior","WI","Douglas County","Superior","WI"
116,116,"Douglas County Department of Corrections","Omaha","NE","Douglas County Department of Corrections","Omaha","NE"
117,117,"East Hidalgo Detention Center","La Villa","TX","East Hidalgo Detention Center","La Villa","TX"
118,118,"East Mesa Detention Facility","San Diego","CA","East Mesa Detention Facility","San Diego","CA"
119,119,"Eden Detention Center","Eden","TX","Eden Detention Center","Eden","TX"
120,120,"El Paso County Detention Facility","El Paso","TX","El Paso County Detention Facility","El Paso","TX"
121,121,"El Paso Service Processing Center","El Paso","TX","El Paso Service Processing Center","El Paso","TX"
122,122,"El Valle Detention Facility","Raymondville","TX","El Valle Detention Facility","Raymondville","TX"
123,123,"Elizabeth Detention Center","Elizabeth","NJ","Elizabeth Detention Center","Elizabeth","NJ"
124,124,"Elmore County Jail","Mountain Home","ID","Elmore County Jail","Mountain Home","ID"
125,125,"Eloy Detention Center","Eloy","AZ","Eloy Detention Center","Eloy","AZ"
126,126,"Erie County Jail","Erie","PA","Erie County Jail","Erie","PA"
127,127,"Delaney Hall Detention Facility","Newark","NJ","Essex County Correctional Facility","Newark","NJ"
128,129,"Etowah County Jail","Gadsden","AL","Etowah County Jail","Gadsden","AL"
129,129,"Etowah County Jail","Gadsden","AL","Etowah County Jail (Alabama)","Gadsden","AL"
130,130,"Euless City Jail","Euless","TX","Euless City Jail","Euless","TX"
131,131,"FCI Atlanta","Atlanta","GA","FCI Atlanta","Atlanta","GA"
132,132,"FDC Philadelphia","Philadelphia","PA","FDC Philadelphia","Philadelphia","PA"
133,307,"Farmville Detention Center","Farmville","VA","Farmville Detention Center","Farmville","VA"
134,134,"Fayette County Detention Center","Lexington","KY","Fayette County Detention Center","Lexington","KY"
135,135,"Finney County Jail","Garden City","KS","Finney County Jail","Garden City","KS"
136,136,"Florence Service Processing Center","Florence","AZ","Florence Service Processing Center","Florence","AZ"
137,137,"Florence Staging Facility","Florence","AZ","Florence Staging Facility","Florence","AZ"
138,138,"Florida Soft-Sided Facility","Ochopee","FL","Florida Soft-Sided Facility","Ochopee","FL"
139,139,"Floyd County Jail","Rome","GA","Floyd County Jail","Rome","GA"
140,140,"Folkston Annex IPC","Folkston","GA","Folkston Annex IPC","Folkston","GA"
141,141,"Folkston ICE Processing Center","Folkston","GA","Folkston ICE Processing Center","Folkston","GA"
142,227,"Folkston Main IPC","Folkston","GA","Folkston Main IPC","Folkston","GA"
143,143,"Forsyth County Jail","Winston-Salem","NC","Forsyth County Jail","Winston-Salem","NC"
144,144,"Franklin County House of Correction","Greenfield","MA","Franklin County House of Correction","Greenfield","MA"
145,145,"Franklin County Jail","Chambersburg","PA","Franklin County Jail","Chambersburg","PA"
146,146,"Frederick County Detention Center","Frederick","MD","Frederick County Detention Center","Frederick","MD"
147,147,"Freeborn County Adult Detention Center","Albert Lea","MN","Freeborn County Adult Detention Center","Albert Lea","MN"
148,148,"Fulton County Jail Indiana","Rochester","IN","Fulton County Jail Indiana","Rochester","IN"
149,149,"Garvin County Detention Center","Pauls Valley","OK","Garvin County Detention Center","Pauls Valley","OK"
150,150,"Gaston County Jail","Gastonia","NC","Gaston County Jail","Gastonia","NC"
151,151,"Geauga County Jail","Chardon","OH","Geauga County Jail","Chardon","OH"
152,152,"Glades County Detention Center","Moore Haven","FL","Glades County Detention Center","Moore Haven","FL"
153,153,"Golden State Annex","McFarland","CA","Golden State Annex","McFarland","CA"
154,154,"Grand Forks County Correctional Facility","Grand Forks","ND","Grand Forks County Correctional Facility","Grand Forks","ND"
155,155,"Grayson County Jail","Leitchfield","KY","Grayson County Jail","Leitchfield","KY"
156,156,"Greene County Jail","Springfield","MO","Greene County Jail","Springfield","MO"
157,157,"Guaynabo MDC (San Juan)","San Juan","PR","Guaynabo MDC (San Juan)","San Juan","PR"
158,158,"Hall County Department of Corrections","Grand Island","NE","Hall County Department of Corrections","Grand Island","NE"
159,160,"Hancock County Public Safety Complex","Bay St. Louis","MS","Hancock County Pub Sfty Cplx","Bay St. Louis","MS"
160,160,"Hancock County Public Safety Complex","Bay St. Louis","MS","Hancock County Public Safety Complex","Bay St. Louis","MS"
161,161,"Hardin County Jail","Eldora","IA","Hardin County Jail","Eldora","IA"
162,162,"Henderson County Jail","Athens","TX","Henderson County Jail","Athens","TX"
163,164,"Henderson Detention","Henderson","NV","Henderson Detention","Henderson","NV"
164,164,"Henderson Detention","Henderson","NV","Henderson Detention Center","Henderson","NV"
165,165,"Hillsborough County Jail","Tampa","FL","Hillsborough County Jail","Tampa","FL"
166,166,"Holiday Inn Exp San Antonio","San Antonio","TX","Holiday Inn Exp San Antonio","San Antonio","TX"
167,167,"Holiday Inn Express-Casa De La Luz","Phoenix","AZ","Holiday Inn Express-Casa De La Luz","Phoenix","AZ"
168,168,"Honolulu Federal Detention Center","Honolulu","HI","Honolulu Federal Detention Center","Honolulu","HI"
169,169,"Hopkins County Jail","Madisonville","KY","Hopkins County Jail","Madisonville","KY"
170,170,"Houston Processing Center","Houston","TX","Houston Processing Center","Houston","TX"
171,171,"Howard County Detention Center","Jessup","MD","Howard County Detention Center","Jessup","MD"
172,172,"Hudson County Correctional Center","Kearny","NJ","Hudson County Correctional Center","Kearny","NJ"
173,173,"IAH Secure Adult Detention Facility (Polk)","Livingston","TX","IAH Secure Adult Detention Facility (Polk)","Livingston","TX"
174,307,"Farmville Detention Center","Farmville","VA","Ica - Farmville","Farmville","VA"
175,307,"Farmville Detention Center","Farmville","VA","Immigration Centers of America Farmville","Farmville","VA"
176,176,"Imperial Regional Detention Facility","Calexico","CA","Imperial Regional Detention Facility","Calexico","CA"
177,177,"Irwin County Detention Center","Ocilla","GA","Irwin County Detention Center","Ocilla","GA"
178,178,"JTF Camp Six","Guantanamo Bay","Cuba","JTF Camp Six","Guantanamo Bay","Cuba"
179,179,"Jack Harwell Detention Center","Waco","TX","Jack Harwell Detention Center","Waco","TX"
180,180,"Jackson Parish Correctional Center","Jonesboro","LA","Jackson Parish Correctional Center","Jonesboro","LA"
181,181,"James A. Musick Facility","Irvine","CA","James A. Musick Facility","Irvine","CA"
182,182,"Jefferson County Jail","Rigby","ID","Jefferson County Jail","Rigby","ID"
